Date,Close
1/4/10,8.68
1/5/10,8.76
1/6/10,9.01
1/7/10,9.37
1/8/10,9.37
1/9/10,9.44
1/10/10,9.92
1/11/10,10.28
1/12/10,11.31
1/13/10,11.33
1/14/10,11.42
1/15/10,11.16
1/16/10,11.03
1/17/10,11.07
1/18/10,11.22
1/19/10,11
1/20/10,11.17
1/21/10,11.12
1/22/10,11.3
1/23/10,11.36
1/24/10,11.12
1/25/10,11.08
1/26/10,10.7
1/27/10,10.62
1/28/10,10.65
1/29/10,11.14
1/30/10,11.16
1/31/10,11.47
2/1/10,11.53
2/2/10,11.83
2/3/10,12.29
2/4/10,12.25
2/5/10,12.28
2/6/10,12.32
2/7/10,12.14
2/8/10,12.43
2/9/10,12.43
2/10/10,12.49
2/11/10,12.74
2/12/10,13.39
2/13/10,14.06
2/14/10,13.7
2/15/10,13.89
2/16/10,13.79
2/17/10,14.19
2/18/10,13.57
2/19/10,13.74
2/20/10,13.9
2/21/10,13.77
2/22/10,14.08
2/23/10,14.19
2/24/10,13.56
2/25/10,13.35
2/26/10,13.92
2/27/10,13.9
2/28/10,13.83
3/1/10,13.97
3/2/10,13.79
3/3/10,13.78
3/4/10,13.86
3/5/10,13.64
3/6/10,13.78
3/7/10,14
3/8/10,13.94
3/9/10,14.01
3/10/10,14.71
3/11/10,14.46
3/12/10,14.42
3/13/10,15.16
3/14/10,15.35
3/15/10,15.08
3/16/10,14.82
3/17/10,14.86
3/18/10,15.37
3/19/10,15.52
3/20/10,15.18
3/21/10,15.19
3/22/10,16.16
3/23/10,15.7
3/24/10,15.35
3/25/10,15.78
3/26/10,15.41
3/27/10,16.06
3/28/10,14.02
3/29/10,14.28
3/30/10,13.36
3/31/10,12.57
4/1/10,13.46
4/2/10,13.89
4/3/10,14.22
4/4/10,13.93
4/5/10,13.55
4/6/10,13.71
4/7/10,13.6
4/8/10,13.28
4/9/10,12.75
4/10/10,12.98
4/11/10,12.96
4/12/10,12.97
4/13/10,13.02
4/14/10,13.35
4/15/10,13
4/16/10,12.78
4/17/10,13.07
4/18/10,13.29
4/19/10,12.69
4/20/10,12.08
4/21/10,12.11
4/22/10,12.26
4/23/10,12.54
4/24/10,12.67
4/25/10,12.78
4/26/10,13
4/27/10,12.96
4/28/10,12.81
4/29/10,12.85
4/30/10,12.36
5/1/10,12.16
5/2/10,12.02
5/3/10,11.69
5/4/10,11.79
5/5/10,11.51
5/6/10,10.99
5/7/10,11.3
5/8/10,11.31
5/9/10,11.5
5/10/10,11.16
5/11/10,11.37
5/12/10,11.87
5/13/10,12.21
5/14/10,12.07
5/15/10,12.58
5/16/10,12.74
5/17/10,12.77
5/18/10,12.16
5/19/10,12.08
5/20/10,12.32
5/21/10,12.03
5/22/10,12.87
5/23/10,13.2
5/24/10,13.59
5/25/10,13.21
5/26/10,13.13
5/27/10,12.94
5/28/10,12.79
5/29/10,12.67
5/30/10,12.48
5/31/10,12.82
6/1/10,12.83
6/2/10,13
6/3/10,13.44
6/4/10,13.26
6/5/10,12.88
6/6/10,13.02
6/7/10,13.17
6/8/10,13.27
6/9/10,13.3
6/10/10,13.3
6/11/10,13.11
6/12/10,13.08
6/13/10,13.15
6/14/10,12.87
6/15/10,12.93
6/16/10,12.6
6/17/10,12.86
6/18/10,12.79
6/19/10,12.82
6/20/10,13.18
6/21/10,13.54
6/22/10,13.83
6/23/10,13.39
6/24/10,13.8
6/25/10,14.07
6/26/10,13.86
6/27/10,13.98
6/28/10,14.01
6/29/10,14.02
6/30/10,13.95
7/1/10,13.97
7/2/10,14.13
7/3/10,13.9
7/4/10,13.52
7/5/10,13.2
7/6/10,13.35
7/7/10,13.19
7/8/10,13.25
7/9/10,13.24
7/10/10,13.22
7/11/10,13.15
7/12/10,13.09
7/13/10,13.25
7/14/10,13.23
7/15/10,13.94
7/16/10,14.18
7/17/10,14.51
7/18/10,14.48
7/19/10,14.55
7/20/10,14.56
7/21/10,14.62
7/22/10,14.63
7/23/10,15.55
7/24/10,15.59
7/25/10,15.05
7/26/10,15.28
7/27/10,15.3
7/28/10,15.36
7/29/10,14.88
7/30/10,14.88
