Date,Close
1/3/17,127.49
1/4/17,129.41
1/5/17,131.81
1/6/17,131.07
1/7/17,130.95
1/8/17,129.89
1/9/17,130.5
1/10/17,129.18
1/11/17,133.7
1/12/17,132.89
1/13/17,133.26
1/14/17,138.41
1/15/17,138.6
1/16/17,137.39
1/17/17,140.11
1/18/17,139.52
1/19/17,138.96
1/20/17,142.45
1/21/17,141.22
1/22/17,140.71
1/23/17,140.78
1/24/17,139.2
1/25/17,140.25
1/26/17,140.97
1/27/17,144
1/28/17,144.74
1/29/17,144.14
1/30/17,144.82
1/31/17,143.2
2/1/17,140.82
2/2/17,142.27
2/3/17,142.01
2/4/17,142.22
2/5/17,142.6
2/6/17,143.86
2/7/17,142.78
2/8/17,143.25
2/9/17,143.41
2/10/17,142.13
2/11/17,142.65
2/12/17,139.53
2/13/17,139.14
2/14/17,141.94
2/15/17,141.43
2/16/17,140.32
2/17/17,140.53
2/18/17,140.89
2/19/17,143.52
2/20/17,143.19
2/21/17,145.25
2/22/17,144.39
2/23/17,145.11
2/24/17,145.83
2/25/17,142.42
2/26/17,142.65
2/27/17,141.84
2/28/17,142.02
3/1/17,144.06
3/2/17,145.17
3/3/17,146.47
3/4/17,148.06
3/5/17,147.81
3/6/17,146.92
3/7/17,145.5
3/8/17,143.62
3/9/17,143.74
3/10/17,143.11
3/11/17,143.85
3/12/17,144.35
3/13/17,143.83
3/14/17,142.92
3/15/17,147.25
3/16/17,143.36
3/17/17,139.76
3/18/17,141.18
3/19/17,142.87
3/20/17,143.83
3/21/17,152.16
3/22/17,150.17
3/23/17,153.08
3/24/17,152.2
3/25/17,155.35
3/26/17,156.45
3/27/17,155.59
3/28/17,157.25
3/29/17,156.6
3/30/17,156.38
3/31/17,157.46
4/1/17,160.28
4/2/17,158.54
4/3/17,160.81
4/4/17,160.02
4/5/17,159.41
4/6/17,153.2
4/7/17,155.7
4/8/17,157.02
4/9/17,157.16
4/10/17,157.95
4/11/17,157.75
4/12/17,163.05
4/13/17,162.43
4/14/17,163.22
4/15/17,163.07
4/16/17,162.99
4/17/17,165.18
4/18/17,165.06
4/19/17,165.17
4/20/17,165.61
4/21/17,165.88
4/22/17,158.03
4/23/17,151.44
4/24/17,152.72
4/25/17,152.2
4/26/17,151.76
4/27/17,152.38
4/28/17,153.4
4/29/17,152.05
4/30/17,155.03
5/1/17,154.89
5/2/17,158.02
5/3/17,157.5
5/4/17,151.03
5/5/17,153.41
5/6/17,150.09
5/7/17,149.41
5/8/17,146.17
5/9/17,147.61
5/10/17,146.25
5/11/17,150.18
5/12/17,152.67
5/13/17,154.33
5/14/17,158.75
5/15/17,158.21
5/16/17,161.12
5/17/17,161.7
5/18/17,183.6
5/19/17,183.86
5/20/17,183.6
5/21/17,188.54
5/22/17,187.91
5/23/17,186.97
5/24/17,189.08
5/25/17,182.68
5/26/17,184.04
5/27/17,181.66
5/28/17,182.03
5/29/17,180.74
5/30/17,179.23
5/31/17,180.27
6/1/17,181.33
6/2/17,178.36
6/3/17,175.78
6/4/17,169.14
6/5/17,171.4
6/6/17,171
6/7/17,168.5
6/8/17,169.98
6/9/17,166.09
6/10/17,166.54
6/11/17,166.76
6/12/17,169.34
6/13/17,169.06
6/14/17,168.13
6/15/17,165.95
6/16/17,167.12
6/17/17,168.81
6/18/17,174.69
6/19/17,174.71
6/20/17,174.74
6/21/17,174.52
6/22/17,179.25
6/23/17,179
6/24/17,176.42
6/25/17,181.74
6/26/17,185.15
6/27/17,183.64
6/28/17,182.63
6/29/17,182.35
6/30/17,184.62
7/1/17,185.68
7/2/17,185.51
7/3/17,188.78
7/4/17,187.35
7/5/17,178.55
7/6/17,179.38
7/7/17,181.97
7/8/17,180.7
7/9/17,181.35
7/10/17,177.01
7/11/17,179.19
7/12/17,184.45
7/13/17,194.39
7/14/17,198.02
7/15/17,196.87
7/16/17,195.08
