Date,Close
1/3/17,158.36
1/4/17,162.99
1/5/17,162.77
1/6/17,163.49
1/7/17,164.51
1/8/17,166.36
1/9/17,168.96
1/10/17,168.36
1/11/17,167.16
1/12/17,164.93
1/13/17,165.57
1/14/17,166.04
1/15/17,167.87
1/16/17,167.04
1/17/17,169.51
1/18/17,170.57
1/19/17,170.94
1/20/17,172.02
1/21/17,173.93
1/22/17,174.54
1/23/17,170.89
1/24/17,174.91
1/25/17,175.89
1/26/17,177.94
1/27/17,182.96
1/28/17,185.18
1/29/17,185.9
1/30/17,186.37
1/31/17,183.8
2/1/17,184.91
2/2/17,185.94
2/3/17,186.1
2/4/17,187.93
2/5/17,188.92
2/6/17,183
2/7/17,186.3
2/8/17,186.28
2/9/17,185.42
2/10/17,189.81
2/11/17,187.45
2/12/17,189.37
2/13/17,189.04
2/14/17,188.89
2/15/17,189.3
2/16/17,188.36
2/17/17,184.69
2/18/17,186.73
2/19/17,186.79
2/20/17,183.67
2/21/17,186.27
2/22/17,185.62
2/23/17,184.83
2/24/17,183.69
2/25/17,184.02
2/26/17,184.13
2/27/17,184.35
2/28/17,182.95
3/1/17,183.95
3/2/17,184.94
3/3/17,182.77
3/4/17,184.11
3/5/17,184.3
3/6/17,186.23
3/7/17,186.36
3/8/17,185.14
3/9/17,186
3/10/17,175.16
3/11/17,173.75
3/12/17,175.51
3/13/17,175.13
3/14/17,174.04
3/15/17,175.04
3/16/17,176.63
3/17/17,175.71
3/18/17,176.91
3/19/17,179.3
3/20/17,180.59
3/21/17,180.59
3/22/17,180.96
3/23/17,185.55
3/24/17,181.39
3/25/17,182.16
3/26/17,184.41
3/27/17,187.07
3/28/17,190.39
3/29/17,193.12
3/30/17,192.29
3/31/17,195.36
4/1/17,195.67
4/2/17,195.38
4/3/17,195.28
4/4/17,196.52
4/5/17,196.23
4/6/17,191.46
4/7/17,194.71
4/8/17,195.8
4/9/17,198.82
4/10/17,199.25
4/11/17,205.97
4/12/17,208.04
4/13/17,207.05
4/14/17,208.49
4/15/17,211.72
4/16/17,215.34
4/17/17,218.05
4/18/17,217.1
4/19/17,217.85
4/20/17,218.15
4/21/17,217.88
4/22/17,206.19
4/23/17,204.07
4/24/17,208.4
4/25/17,210.56
4/26/17,209.56
4/27/17,210.84
4/28/17,215.73
4/29/17,215.03
4/30/17,216.09
5/1/17,218.09
5/2/17,217.05
5/3/17,218.88
5/4/17,213.14
5/5/17,213.6
5/6/17,210.75
5/7/17,211.53
5/8/17,209.92
5/9/17,208.03
5/10/17,208.84
5/11/17,212.32
5/12/17,211.62
5/13/17,212.11
5/14/17,213.54
5/15/17,210.45
5/16/17,209.21
5/17/17,208.25
5/18/17,211.45
5/19/17,212.52
5/20/17,212.44
5/21/17,213.22
5/22/17,213.97
5/23/17,192.4
5/24/17,186.43
5/25/17,182.43
5/26/17,183.09
5/27/17,186.5
5/28/17,186.45
5/29/17,192.35
5/30/17,198.23
5/31/17,196.79
6/1/17,195.43
6/2/17,192.14
6/3/17,193.83
6/4/17,192.53
6/5/17,192.86
6/6/17,193.91
6/7/17,188.17
6/8/17,187.67
6/9/17,188.26
6/10/17,188.66
6/11/17,189.48
6/12/17,189.01
6/13/17,187.69
6/14/17,183.3
6/15/17,178.73
6/16/17,178.76
6/17/17,178.38
6/18/17,178.93
6/19/17,182.26
6/20/17,183.59
6/21/17,182.5
6/22/17,182.63
6/23/17,183.32
6/24/17,186.43
6/25/17,189.02
6/26/17,189.92
6/27/17,188.55
6/28/17,189.91
6/29/17,194.68
6/30/17,195.62
7/1/17,195.93
7/2/17,197.58
7/3/17,198.04
7/4/17,197.21
7/5/17,193.42
7/6/17,193.31
7/7/17,196.84
7/8/17,197.04
7/9/17,198.55
7/10/17,199.99
7/11/17,202.81
7/12/17,201.64
7/13/17,206.02
7/14/17,205.39
7/15/17,205.8
7/16/17,209.44
7/17/17,209.24
7/18/17,201.03
7/19/17,192.98
7/20/17,193.19
7/21/17,192.27
7/22/17,187.79
7/23/17,186.12
7/24/17,186.11
7/25/17,182.63
7/26/17,183.84
7/27/17,185.75
7/28/17,185.68
7/29/17,184.68
7/30/17,181.7
7/31/17,183
8/1/17,177.25
8/2/17,178.09
8/3/17,177.94
8/4/17,173.46
8/5/17,170.1
8/6/17,168.71
8/7/17,173.21
8/8/17,173.33
8/9/17,173.03
8/10/17,175.66
8/11/17,175.76
8/12/17,177.47
8/13/17,178.65
8/14/17,177.77
8/15/17,176.88
8/16/17,176.55
8/17/17,177.34
8/18/17,174.52
8/19/17,172.29
8/20/17,179.17
8/21/17,186.16
8/22/17,184.62
8/23/17,187.62
8/24/17,185.5
8/25/17,181.17
8/26/17,179.51
8/27/17,183.91
8/28/17,180.96
8/29/17,180.61
8/30/17,180.51
8/31/17,182.52
9/1/17,185.04
9/2/17,186
9/3/17,187.06
9/4/17,183.62
9/5/17,188.39
9/6/17,192.87
9/7/17,190.37
9/8/17,190.57
9/9/17,189.98
9/10/17,188.96
9/11/17,186.94
9/12/17,191.66
9/13/17,197.29
9/14/17,200.3
9/15/17,203.61
9/16/17,206.71
9/17/17,200.09
9/18/17,209.85
9/19/17,211.15
9/20/17,209.29
9/21/17,207.89
9/22/17,210.91
9/23/17,213.54
9/24/17,216.29
9/25/17,219.57
9/26/17,218.72
9/27/17,219.33
9/28/17,216.78
9/29/17,215.33
9/30/17,215.95
10/1/17,216.85
10/2/17,218.67
10/3/17,214.38
10/4/17,208.02
10/5/17,208.46
10/6/17,211.31
10/7/17,198.57
10/8/17,206.09
10/9/17,211.87
10/10/17,208
10/11/17,209.78
10/12/17,217.7
10/13/17,220.74
10/14/17,221.49
10/15/17,230.53
10/16/17,227
10/17/17,228.85
10/18/17,228.02
10/19/17,226.47
10/20/17,222.41
10/21/17,222.82
10/22/17,223.1
10/23/17,219.61
10/24/17,221.44
10/25/17,222.96
10/26/17,222.78
10/27/17,230.26
10/28/17,227.69
10/29/17,226.4
10/30/17,226.66
10/31/17,226.82
11/1/17,229.79
11/2/17,227.67
11/3/17,231.59
11/4/17,228.26
11/5/17,226.4
11/6/17,226.65
11/7/17,231.28
11/8/17,231.58
11/9/17,233.87
11/10/17,233.56
11/11/17,230.42
11/12/17,233.47
11/13/17,231.45
11/14/17,235.79
11/15/17,231.46
11/16/17,232.43
11/17/17,231.7
11/18/17,231
11/19/17,231.48
11/20/17,230.32
11/21/17,232.35
11/22/17,237.16
11/23/17,238.19
11/24/17,240.69
11/25/17,238.93
11/26/17,239.48
11/27/17,231.82
11/28/17,233.53
11/29/17,250.61
11/30/17,248.42
12/1/17,241.73
12/2/17,247.68
12/3/17,244.28
12/4/17,245.83
12/5/17,248.24
12/6/17,250.5
12/7/17,250.41
12/8/17,249.91
12/9/17,249.72
12/10/17,249.91
12/11/17,246.14
12/12/17,247.1
12/13/17,247.34
12/14/17,246.55
12/15/17,244.86
12/16/17,248.37
12/17/17,248.21
12/18/17,249.49
12/19/17,252.24
12/20/17,250.34
12/21/17,245.8
12/22/17,251.7
12/23/17,251.48
12/24/17,252.85
12/25/17,255.39
12/26/17,262.63
12/27/17,269.63
12/28/17,272.04
12/29/17,270.04
12/30/17,269.77
12/31/17,273.2
1/1/18,273.58
1/2/18,273.65
1/3/18,277.34
1/4/18,281.73
1/5/18,287.39
1/6/18,287.39
1/7/18,290.76
1/8/18,292.39
1/9/18,279.51
1/10/18,283.11
1/11/18,281.47
1/12/18,282.09
1/13/18,282.17
1/14/18,281
1/15/18,280.13
1/16/18,277.74
1/17/18,279.15
1/18/18,278.27
1/19/18,272.39
1/20/18,279.66
1/21/18,279.03
1/22/18,281.4
1/23/18,279.19
1/24/18,282.04
1/25/18,283.68
1/26/18,276.75
1/27/18,277.17
1/28/18,271.75
1/29/18,263.07
1/30/18,262.2
1/31/18,260
2/1/18,260.7
2/2/18,256.41
2/3/18,262.66
2/4/18,270.34
2/5/18,276.75
2/6/18,279.5
2/7/18,280.14
2/8/18,277.45
2/9/18,286.92
2/10/18,291.45
2/11/18,291.31
2/12/18,288.6
2/13/18,287.51
2/14/18,284.19
2/15/18,287.72
2/16/18,285.04
2/17/18,284.75
2/18/18,287.37
2/19/18,291.54
2/20/18,289.4
2/21/18,297.95
2/22/18,297.89
2/23/18,299.43
2/24/18,300.64
2/25/18,300.67
2/26/18,298.56
2/27/18,296.6
2/28/18,289.81
3/1/18,290.53
3/2/18,294.07
3/3/18,293.78
3/4/18,286.62
3/5/18,285.24
3/6/18,284.84
3/7/18,280.05
3/8/18,274.6
3/9/18,281.81
3/10/18,279.47
3/11/18,282.71
3/12/18,286.22
3/13/18,288.99
3/14/18,290.79
3/15/18,289.18
3/16/18,293.45
3/17/18,294.8
3/18/18,285.52
3/19/18,282.28
3/20/18,286
3/21/18,281.77
3/22/18,282.91
3/23/18,280.24
3/24/18,284.18
3/25/18,274.92
3/26/18,270.88
3/27/18,277.34
3/28/18,272.94
3/29/18,259.63
3/30/18,267.69
3/31/18,266.38
4/1/18,267.75
4/2/18,267.75
4/3/18,265.82
4/4/18,255.49
4/5/18,261.77
4/6/18,261.24
4/7/18,256.49
4/8/18,266.23
4/9/18,268.79
4/10/18,266.05
4/11/18,265.3
4/12/18,260.26
4/13/18,263.56
4/14/18,271.47
4/15/18,273.15
4/16/18,274.35
4/17/18,269.09
4/18/18,264.71
4/19/18,266.12
4/20/18,259.62
4/21/18,264.62
4/22/18,252.07
4/23/18,255.22
4/24/18,259.59
4/25/18,262.5
4/26/18,266.36
4/27/18,268.58
4/28/18,273.8
4/29/18,280.18
4/30/18,277.32
5/1/18,276.36
5/2/18,266.02
5/3/18,266.4
5/4/18,258.32
5/5/18,255.21
5/6/18,252
5/7/18,249.68
5/8/18,250.16
5/9/18,249.01
5/10/18,242.19
5/11/18,244.65
5/12/18,239.38
5/13/18,235.39
5/14/18,239.49
5/15/18,234.35
5/16/18,248.91
5/17/18,248.47
5/18/18,249.95
5/19/18,247.99
5/20/18,243.3
5/21/18,239.69
5/22/18,243.6
5/23/18,246.43
5/24/18,242.21
5/25/18,246.59
5/26/18,246.19
5/27/18,248.99
5/28/18,244.17
5/29/18,247.89
5/30/18,246.85
5/31/18,258.94
6/1/18,267.46
6/2/18,263.43
6/3/18,273.16
6/4/18,276.88
6/5/18,284.16
6/6/18,279.79
6/7/18,274.85
6/8/18,277.06
6/9/18,283.73
6/10/18,278.39
6/11/18,281.07
6/12/18,289.29
6/13/18,287.89
6/14/18,288.89
6/15/18,290.16
6/16/18,294.86
6/17/18,287.21
6/18/18,288.8
6/19/18,287.18
6/20/18,281.65
6/21/18,279.23
6/22/18,278.49
6/23/18,253.01
6/24/18,260.71
6/25/18,255.94
6/26/18,252.81
6/27/18,252.51
6/28/18,250.94
6/29/18,250.73
6/30/18,248.57
7/1/18,249.33
7/2/18,248.6
7/3/18,247.94
7/4/18,250.52
7/5/18,246.99
7/6/18,240
7/7/18,245.37
7/8/18,247.25
7/9/18,244.27
7/10/18,243.41
7/11/18,248.76
7/12/18,243.94
7/13/18,245.05
7/14/18,239.25
7/15/18,242.56
7/16/18,245.4
7/17/18,247.58
7/18/18,253.92
7/19/18,258.1
7/20/18,249.45
7/21/18,245.22
7/22/18,253.11
7/23/18,248.94
7/24/18,254.56
7/25/18,247.5
7/26/18,247.83
7/27/18,248.94
7/28/18,255.55
7/29/18,257.61
7/30/18,258.9
7/31/18,255.34
8/1/18,265.25
8/2/18,267.61
8/3/18,266
8/4/18,270.2
8/5/18,283.42
8/6/18,276.45
8/7/18,273.43
8/8/18,268.87
8/9/18,270.58
8/10/18,271.46
8/11/18,274.32
8/12/18,279.75
8/13/18,282.02
8/14/18,277.39
8/15/18,283.15
8/16/18,282.16
8/17/18,278.37
8/18/18,273.88
8/19/18,272.86
8/20/18,276.67
8/21/18,277.84
8/22/18,281.25
8/23/18,284.86
8/24/18,284.97
8/25/18,284.43
8/26/18,285.31
8/27/18,282.61
8/28/18,280.73
8/29/18,277.73
8/30/18,277.28
8/31/18,279.5
9/1/18,276.49
9/2/18,284
9/3/18,285.34
9/4/18,287
9/5/18,287
9/6/18,282.64
9/7/18,280.13
9/8/18,282
9/9/18,281.29
9/10/18,280.65
9/11/18,282
9/12/18,282.35
9/13/18,280.68
9/14/18,281.82
9/15/18,280.33
9/16/18,274.37
9/17/18,277.14
9/18/18,275.87
9/19/18,277.94
9/20/18,278.28
9/21/18,271.1
9/22/18,273.81
9/23/18,280.96
9/24/18,278.26
9/25/18,277.21
9/26/18,280
9/27/18,275.35
9/28/18,277.64
9/29/18,282.11
9/30/18,269.92
10/1/18,246.54
10/2/18,253.01
10/3/18,252.68
10/4/18,257.93
10/5/18,255.4
10/6/18,257.71
10/7/18,262.21
10/8/18,260.67
10/9/18,259.06
10/10/18,252.48
10/11/18,247.55
10/12/18,244.53
10/13/18,245.83
10/14/18,244.75
10/15/18,239.72
10/16/18,242.51
10/17/18,245.74
10/18/18,246.75
10/19/18,247.83
10/20/18,240.01
10/21/18,240.6
10/22/18,236.2
10/23/18,232.89
10/24/18,234.95
10/25/18,232.02
10/26/18,232.43
10/27/18,231.52
10/28/18,231.85
10/29/18,226.15
10/30/18,227.69
10/31/18,222.45
11/1/18,225.85
11/2/18,225.26
11/3/18,226.84
11/4/18,226.87
11/5/18,239.06
11/6/18,244.83
11/7/18,237.35
11/8/18,239.2
11/9/18,243.57
11/10/18,249.09
11/11/18,246.79
11/12/18,245.05
11/13/18,244.79
11/14/18,243.54
11/15/18,245
11/16/18,247.01
11/17/18,247.62
11/18/18,246.26
11/19/18,242.97
11/20/18,241.45
11/21/18,239.46
11/22/18,240.46
11/23/18,244.59
11/24/18,245.77
11/25/18,241.75
11/26/18,243.35
11/27/18,242.13
11/28/18,242.21
11/29/18,253.48
11/30/18,248.19
12/1/18,254.77
12/2/18,257.79
12/3/18,252.2
12/4/18,255.73
12/5/18,255.96
12/6/18,256.45
12/7/18,255.7
12/8/18,257.52
12/9/18,258.94
12/10/18,256
12/11/18,263.6
12/12/18,271.75
12/13/18,269.46
12/14/18,263.18
12/15/18,270.9
12/16/18,271.62
12/17/18,269.26
12/18/18,269.29
12/19/18,276.31
12/20/18,277.82
12/21/18,282.68
12/22/18,280.66
12/23/18,280.69
12/24/18,277.88
12/25/18,279.4
12/26/18,278.66
12/27/18,281.41
12/28/18,284.61
12/29/18,285.74
12/30/18,288.24
12/31/18,284.05
1/1/19,285.76
1/2/19,293
1/3/19,289.14
1/4/19,295.33
1/5/19,294.3
1/6/19,294.05
1/7/19,284.09
1/8/19,286
1/9/19,286.87
1/10/19,286.57
1/11/19,286.37
1/12/19,285.24
1/13/19,293.62
